Date, Open, High, Low, Close
07/26/23, 140.91, 141.19, 139.93, 140.25
07/25/23, 141.46, 141.75, 140.86, 140.91
07/24/23, 141.66, 141.80, 140.77, 141.49
07/21/23, 140.07, 141.97, 139.75, 141.81
07/20/23, 139.68, 140.50, 139.12, 140.07
07/19/23, 138.83, 140.00, 138.76, 139.64
07/18/23, 138.71, 139.14, 137.70, 138.83
07/17/23, 138.69, 139.41, 138.01, 138.71
07/14/23, 138.00, 139.16, 137.27, 138.65
07/13/23, 138.47, 138.97, 137.93, 138.05
07/12/23, 140.34, 140.40, 138.18, 138.51
07/11/23, 141.31, 141.46, 140.16, 140.35
07/10/23, 142.29, 143.01, 141.28, 141.31
07/07/23, 144.06, 144.20, 142.07, 142.12
07/06/23, 144.66, 144.66, 143.56, 144.07
07/05/23, 144.46, 144.76, 144.08, 144.66
07/04/23, 144.68, 144.71, 144.21, 144.47
07/03/23, 144.31, 144.94, 144.01, 144.68
06/30/23, 144.79, 145.07, 144.20, 144.32
06/29/23, 144.47, 144.90, 144.14, 144.79
06/28/23, 144.07, 144.63, 143.73, 144.49
06/27/23, 143.51, 144.21, 143.28, 144.07
06/26/23, 143.69, 143.72, 142.95, 143.50
06/23/23, 143.11, 143.91, 142.75, 143.73
06/22/23, 141.86, 143.24, 141.61, 143.10
06/21/23, 141.46, 142.41, 141.29, 141.88
06/20/23, 141.98, 142.25, 141.22, 141.44
06/19/23, 141.84, 142.06, 141.44, 141.99
06/16/23, 140.32, 141.92, 139.85, 141.87
06/15/23, 140.09, 141.51, 139.94, 140.27
06/14/23, 140.20, 140.28, 139.28, 140.09
06/13/23, 139.60, 140.31, 139.01, 140.22
06/12/23, 139.32, 139.76, 139.07, 139.60
06/09/23, 138.92, 139.72, 138.78, 139.38
06/08/23, 140.10, 140.22, 138.81, 138.92
06/07/23, 139.63, 140.25, 139.03, 140.16
06/06/23, 139.57, 140.00, 139.10, 139.63
06/05/23, 139.94, 140.46, 139.38, 139.58
06/02/23, 138.80, 140.07, 138.62, 139.97
06/01/23, 139.34, 139.96, 138.49, 138.79
05/31/23, 139.80, 140.38, 139.24, 139.34
05/30/23, 140.45, 140.93, 139.57, 139.79
05/29/23, 140.66, 140.91, 140.11, 140.45
05/26/23, 140.07, 140.72, 139.50, 140.64
05/25/23, 139.47, 140.23, 138.81, 140.06
05/24/23, 138.59, 139.49, 138.24, 139.48
05/23/23, 138.60, 138.90, 138.25, 138.59
05/22/23, 137.97, 138.69, 137.50, 138.60
05/19/23, 138.73, 138.74, 137.44, 137.90
05/18/23, 137.67, 138.75, 137.29, 138.71
05/17/23, 136.38, 137.71, 136.31, 137.69
05/16/23, 136.11, 136.69, 135.69, 136.38
05/15/23, 135.64, 136.33, 135.61, 136.12
05/12/23, 134.56, 135.77, 134.40, 135.74
05/11/23, 134.36, 134.84, 133.76, 134.56
05/10/23, 135.23, 135.46, 134.12, 134.36
05/09/23, 135.12, 135.35, 134.72, 135.24
05/08/23, 134.84, 135.30, 134.64, 135.13
05/05/23, 134.30, 135.07, 133.89, 134.85
05/04/23, 134.73, 134.87, 133.50, 134.29
05/03/23, 136.56, 136.66, 134.73, 134.74
05/02/23, 137.49, 137.77, 136.32, 136.55
05/01/23, 136.31, 137.54, 136.14, 137.48
04/28/23, 133.99, 136.55, 133.61, 136.31
04/27/23, 133.67, 134.20, 133.22, 134.01
04/26/23, 133.76, 133.94, 133.01, 133.67
04/25/23, 134.23, 134.45, 133.37, 133.72
04/24/23, 134.01, 134.73, 133.89, 134.24
04/21/23, 134.24, 134.46, 133.55, 134.14
04/20/23, 134.72, 134.97, 134.01, 134.24
04/19/23, 134.12, 135.14, 133.96, 134.72
04/18/23, 134.48, 134.70, 133.87, 134.12
04/17/23, 133.82, 134.57, 133.71, 134.49
04/14/23, 132.57, 133.87, 132.17, 133.79
04/13/23, 133.12, 133.38, 132.02, 132.57
04/12/23, 133.70, 134.05, 132.74, 133.16
04/11/23, 133.63, 133.81, 132.97, 133.70
04/10/23, 132.16, 133.88, 131.83, 133.60
04/07/23, 131.77, 132.37, 131.53, 132.17
04/06/23, 131.32, 131.91, 130.80, 131.79
04/05/23, 131.72, 131.84, 130.63, 131.32
04/04/23, 132.42, 133.16, 131.52, 131.72
04/03/23, 132.78, 133.76, 132.21, 132.42
03/31/23, 132.71, 133.59, 132.59, 132.76
03/30/23, 132.86, 132.96, 132.22, 132.72
03/29/23, 130.88, 132.89, 130.76, 132.87
03/28/23, 131.57, 131.61, 130.41, 130.88
03/27/23, 130.54, 131.78, 130.51, 131.57
03/24/23, 130.84, 130.93, 129.65, 130.71
03/23/23, 131.44, 131.66, 130.32, 130.85
03/22/23, 132.48, 133.00, 131.01, 131.44
